metric,value,section
totalPapers,23345,corpus
verifiedMesPapers,8911,corpus
publishedExtractions,30768,extraction
paperParameterMappings,18113,extraction
parameterDefinitions,687,extraction
categories,13,extraction
subcategories,125,extraction
papersWithReproducibilityScores,289,quality
averageReproducibilityCompleteness,0.231,quality
1990,1,systemTypes
1992,1,systemTypes
2000,2,systemTypes
2002,2,systemTypes
2003,2,systemTypes
2004,1,systemTypes
2005,3,systemTypes
2008,3,systemTypes
2009,3,systemTypes
2010,3,systemTypes
2011,2,systemTypes
2012,4,systemTypes
2013,3,systemTypes
2014,9,systemTypes
2015,6,systemTypes
2016,14,systemTypes
2017,9,systemTypes
2018,14,systemTypes
2019,11,systemTypes
2020,22,systemTypes
2021,16,systemTypes
2022,31,systemTypes
2023,45,systemTypes
2024,35,systemTypes
2025,29,systemTypes
2026,46,systemTypes
MFC,8943,systemTypes
Energy Conversion and Management,1,systemTypes
MEC,1225,systemTypes
" and cultural diplomacy""",1,systemTypes
" and socioeconomic drivers""",1,systemTypes
MES,10777,systemTypes
Trends in Ecological and Indoor Environmental Engineering,1,systemTypes
" Society and Law""",1,systemTypes
" Sosial dan Humaniora""",1,systemTypes
Indian Journal Of Agricultural Research,1,systemTypes
Frontiers in Environmental Science,2,systemTypes
" and therapeutic prospects""",1,systemTypes
Microbial Genomics,1,systemTypes
 Air,7,systemTypes
Animal Production Science,1,systemTypes
Kybernetes,1,systemTypes
Innovaciencia,1,systemTypes
" and cytotoxic activities of leaf crude extracts of Cannabis “Gorilla glue 1”""",1,systemTypes
Molecular and Cellular Biomedical Sciences,1,systemTypes
 Baden-Wurttemberg,5,systemTypes
" Wellness and Community Research""",1,systemTypes
" Switzerland)""",9,systemTypes
BES,1017,systemTypes
" Business and Accounting""",1,systemTypes
" 2020 (Sabellida: Siboglinidae) and its associated microbial metagenome sequences""",1,systemTypes
" Ciências e Educação""",1,systemTypes
ISME Communications,1,systemTypes
World Journal of Microbiology and Biotechnology,1,systemTypes
Journal of Berry Research,1,systemTypes
" Netherlands)""",37,systemTypes
ChemMedChem,1,systemTypes
Bioresource technology,3,systemTypes
" nutrition &amp; agriculture""",1,systemTypes
Microbial biotechnology,1,systemTypes
" and cost.""",1,systemTypes
" Essex : 1987)""",4,systemTypes
" Ont.)""",3,systemTypes
" exuviae) -derived materials in sustainable technologies: A review.""",1,systemTypes
The Lancet. Respiratory medicine,1,systemTypes
"""Small (Weinheim an der Bergstrasse",1,systemTypes
" Fla.)""",2,systemTypes
" and animals.""",1,systemTypes
" D.C.)""",1,systemTypes
" Interface""",1,systemTypes
MDC,95,systemTypes
Frontiers in microbiology,1,systemTypes
The Lancet. Infectious diseases,1,systemTypes
 London,1,systemTypes
The Lancet. Child &amp; adolescent health,1,systemTypes
Small,2,systemTypes
BMC biotechnology,1,systemTypes
"""Lancet (London",2,systemTypes
Marine drugs,1,systemTypes
" England : 1993)""",1,systemTypes
Current Green Chemistry,1,systemTypes
" Chemistry and Environmental Protection""",1,systemTypes
Scientific Reports,5,systemTypes
" Bioproducts and Biorefining""",4,systemTypes
Environmental science and pollution research international,1,systemTypes
" and expression of Piscidin 4 and hepcidin antimicrobial peptide 1.""",1,systemTypes
" Germany)""",1,systemTypes
 Biotechnology,5,systemTypes
Municipal economy of cities,1,systemTypes
2025 IEEE International Workshop on Metrology for Industry 4.0 & IoT (MetroInd4.0 & IoT),1,systemTypes
