parameter,metric,pearson_r,sample_size,p_value,trend,strength,ci_95_lower,ci_95_upper,sample_size_adequate,p_value_note,p_value_corrected,bonferroni_significant,adjusted_alpha
Reproducibility Score,Coulombic Efficiency (%),0.567,36,0.0000,positive,moderate,0.293,0.755,yes,Reported as 0 due to approximation; recompute from r and N,0.000311353,yes,0.00357143
ec:coulombicEfficiency,Coulombic Efficiency (%),0.557,55,0.0000,positive,moderate,0.342,0.716,yes,Reported as 0 due to approximation; recompute from r and N,1.00262e-05,yes,0.00357143
bio:substrateRemovalEfficiency,Coulombic Efficiency (%),0.274,15,0.4246,positive,weak,-0.277,0.689,no,,0.323045,no,0.00357143
ec:maxPowerDensity,Coulombic Efficiency (%),0.175,49,0.4133,positive,negligible,-0.112,0.435,yes,,0.229099,no,0.00357143
ec:maxCurrentDensity,Power Output (mW/m²),-0.136,63,0.5608,negative,negligible,-0.371,0.116,yes,,0.287874,no,0.00357143
reactor:volume,Power Output (mW/m²),-0.105,15,0.8432,negative,negligible,-0.586,0.430,no,,0.709583,no,0.00357143
ec:maxCurrentDensity,Coulombic Efficiency (%),-0.095,20,0.7363,none,negligible,-0.516,0.363,no,,0.690335,no,0.00357143
reactor:chambers,Power Output (mW/m²),-0.082,81,1.0000,none,negligible,-0.295,0.139,yes,Clamped to 1.0; true p-value may differ,0.466763,no,0.00357143
Reproducibility Score,Power Output (mW/m²),-0.065,284,0.5436,none,negligible,-0.180,0.052,yes,,0.274955,no,0.00357143
reactor:chambers,Coulombic Efficiency (%),0.057,67,1.0000,none,negligible,-0.186,0.293,yes,Clamped to 1.0; true p-value may differ,0.646839,no,0.00357143
ec:maxPowerDensity,Power Output (mW/m²),0.044,286,0.9814,none,negligible,-0.072,0.159,yes,,0.458567,no,0.00357143
Year,Power Output (mW/m²),0.032,289,1.0000,none,negligible,-0.084,0.147,yes,Clamped to 1.0; true p-value may differ,0.587969,no,0.00357143
Year,Coulombic Efficiency (%),-0.016,493,1.0000,none,negligible,-0.104,0.072,yes,Clamped to 1.0; true p-value may differ,0.723055,no,0.00357143
reactor:volume,Coulombic Efficiency (%),-0.009,41,1.0000,none,negligible,-0.316,0.299,yes,Clamped to 1.0; true p-value may differ,0.955464,no,0.00357143
