doi,title,year,journal,systemType,anodeMaterials,cathodeMaterials,powerOutput,efficiency,qualityScore,parameterCompleteness,aiConfidence,reproducibilityScore,citationCount
10.1001/JAMA.1982.03330050078045,Electromagnetism and Life,1982,JAMA: The Journal of the American Medical Association,MES,,,,,,0,0.9,,71
10.1001/jamapsychiatry.2021.0620,"Effectiveness, Core Elements, and Moderators of Response of Cognitive Remediation for Schizophrenia",2021,JAMA Psychiatry,MES,,,,,,0.125,0.9,,440
10.1002/(SICI)1097-0290(19980420)58:2/3<175::AID-BIT10>3.0.CO;2-C,Engineering protein-based machines to emulate key steps of metabolism (biological energy conversion),1998,Biotechnology and Bioengineering,MES,,,,,,0.125,0.9,,19
10.1002/(SICI)1521-4109(199804)10:5<336::AID-ELAN336>3.0.CO;2-N,Voltammetric Characterization of Carbon Paste Electrodes with a Nonconducting Binder. Part I: Evidence of the Influence of Electroactive Species Dissolution into the Paste on the Voltammetric Response,1998,Electroanalysis,MES,,,,,,0.125,1,,35
10.1002/0471227617.eoc112,Hydrogenases—Biological,2010,Encyclopedia of Catalysis,MES,,,,,,0.125,0.8,,0
10.1002/0471238961.1309031803152005.a01,Microbial Polysaccharides,,Kirk-Othmer Encyclopedia of Chemical Technology,MES,,,,,,0.25,1,,2
10.1002/0471263397.env243,"Fuel Oxygenates, Microbial Degradation of",2003,Encyclopedia of Environmental Microbiology,MES,,,,,,0,0.8,,0
10.1002/047147844X.GW2107,"Pharmaceuticals, hormones, and other organic wastewater contaminants in U.S. streams, 1999-2000: a national reconnaissance.",2002,Water Encyclopedia,MES,,,,,,0.375,0.9,,13
10.1002/14356007.o28_o09,"Wastewater, 3. Anaerobic Biological Treatment",2011,Ullmann's Encyclopedia of Industrial Chemistry,MES,,,,,,0.5,0.9,,4
10.1002/1873-3468.13844,Recent advances in understanding catalysis of protein folding by molecular chaperones,2020,FEBS Letters,MES,,,,,,0.125,0.9,,172
10.1002/2015jg003133,Transitions in Arctic ecosystems: Ecological implications of a changing hydrological regime,2016,Journal of Geophysical Research Biogeosciences,,,,,,,,0.6,,271
10.1002/2016ef000379,Stratigraphic and Earth System approaches to defining the Anthropocene,2016,Earth s Future,,,,,,,,0.6,,241
10.1002/2017rg000559,Methane Feedbacks to the Global Climate System in a Warmer World,2018,Reviews of Geophysics,,,,,,,,0.6,,642
10.1002/9780470015902.a0021974,Bacterial Cell Wall Recycling,2012,Encyclopedia of Life Sciences,MES,,,,,,0.25,1,,16
10.1002/9780470054581.EIB089,"Biofuel Cells, Performance Characterization",2010,Encyclopedia of Industrial Biotechnology,MFC,,,,,,0,0.9,,0
10.1002/9780470054581.EIB362,Algal Hydrogen Production,2010,Encyclopedia of Industrial Biotechnology,MES,,,,,,0,1,,5
