id,paper_doi,paper_title,paper_year,system_type,parameter_name,parameter_category,parameter_subcategory,extracted_value,numeric_value,parameter_unit,has_numeric_value,confidence,extraction_method,source_section,is_verified,verified_mes_paper
b19de3a7-87c4-44ec-b21c-a13f5e858199,,ijred.3.1.65-72 - Evaluation of Cathode Gas Composition and Temperature Influences on Alkaline Ani,,MFC,Absolute Pressure,ENVIRONMENTAL,Pressure Parameters,2,2,kPa,t,1.000,NLP,Results,f,f
cbddd923-2411-4528-84a5-67a7c98f920d,,ijred.3.1.65-72 - Evaluation of Cathode Gas Composition and Temperature Influences on Alkaline Ani,,MFC,Absolute Pressure,ENVIRONMENTAL,Pressure Parameters,2,2,kPa,t,1.000,NLP,Results,f,f
39821e5c-c776-4bbd-ab0e-d545471a1572,,cest232 - Controlled tornadoes could fix climate and energy problems,,MES,Absolute Pressure,ENVIRONMENTAL,Pressure Parameters,15,15,kPa,t,0.500,HYBRID,Unknown,f,f
09732af0-b2b2-4db8-8943-9699db538381,,cest232 - Controlled tornadoes could fix climate and energy problems,,MES,Absolute Pressure,ENVIRONMENTAL,Pressure Parameters,15,15,kPa,t,0.500,HYBRID,Unknown,f,f
ec1e905b-cb75-48b5-87cc-c57ef6928bd6,,aphyspola.132.1306 - Performance Analysis of an Atkinson Cycle Engine under Effective Power and Effec,,MFC,Absolute Pressure,ENVIRONMENTAL,Pressure Parameters,100,100,kPa,t,0.500,HYBRID,Discussion,f,f
2cfabffc-2b33-487d-b088-64a8a8003c02,,cest232 - Controlled tornadoes could fix climate and energy problems,,MES,Absolute Pressure,ENVIRONMENTAL,Pressure Parameters,15,15,kPa,t,0.500,HYBRID,Unknown,f,f
584e4fb7-9957-4ddb-a443-08ad563bef66,,aphyspola.132.1306 - Performance Analysis of an Atkinson Cycle Engine under Effective Power and Effec,,MFC,Absolute Pressure,ENVIRONMENTAL,Pressure Parameters,100,100,kPa,t,0.500,HYBRID,Discussion,f,f
312c329a-7b7c-4eb5-9cbf-856a9636636f,,fmicb.2025.1604265 - Enhancement of direct interspecies electron transfer and methane production by c,,MFC,Air Flow Rate,ENVIRONMENTAL,,400,400,m³/h,t,0.700,HYBRID,Unknown,f,f
338ea13c-78c2-4a86-a28b-fb103250a951,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
45ec30d9-2b84-46f0-912f-8904fe9d1e84,,2859-9-8 - Metabolic regulation of Escherichia coli and its gdhA glnL gltB D mutants under,,MES,Air Flow Rate,ENVIRONMENTAL,,1,1,m³/h,t,0.525,HYBRID,Unknown,f,f
744385d0-ef22-4acd-a876-e660da4f3bb4,,fmicb.2025.1604265 - Enhancement of direct interspecies electron transfer and methane production by c,,MFC,Air Flow Rate,ENVIRONMENTAL,,400,400,m³/h,t,0.700,HYBRID,Unknown,f,f
c2a079e6-5cae-4931-ac28-e3a439d6a896,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
2d6f2924-dc0c-417c-b18c-c1f9df14182c,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
4bde7be7-0ab2-4d2b-b14c-4f6b74c45b3d,,2859-9-8 - Metabolic regulation of Escherichia coli and its gdhA glnL gltB D mutants under,,MES,Air Flow Rate,ENVIRONMENTAL,,1,1,m³/h,t,0.525,HYBRID,Unknown,f,f
78b2edf2-ad0a-4256-9871-dc4202d10b68,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
66a98790-5a01-4216-b73b-0eb647487ef9,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
c8b49f6a-8212-44b6-8a1f-b73c07205295,,2859-9-8 - Metabolic regulation of Escherichia coli and its gdhA glnL gltB D mutants under,,MES,Air Flow Rate,ENVIRONMENTAL,,1,1,m³/h,t,0.525,HYBRID,Unknown,f,f
7a3ce7d2-1371-486d-b34d-1bad99890c54,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
130ccd1e-69ed-4da3-b6c7-0dd359293458,,fmicb.2025.1604265 - Enhancement of direct interspecies electron transfer and methane production by c,,MFC,Air Flow Rate,ENVIRONMENTAL,,400,400,m³/h,t,0.700,HYBRID,Unknown,f,f
3db9b023-268b-4292-a9a0-a104ad709078,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
5f06df14-a7e4-47a7-bbd9-8db5ea1f3bcc,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
6f88c6ce-d2b5-4106-aabf-2275cacca6fe,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
612d43ee-c1e3-4451-85b2-76c50f08b426,,fmicb.2025.1604265 - Enhancement of direct interspecies electron transfer and methane production by c,,MFC,Air Flow Rate,ENVIRONMENTAL,,400,400,m³/h,t,0.700,HYBRID,Unknown,f,f
ce005dcb-4beb-4d8a-a5e0-1d4ab04c35ca,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
48a6ad98-9068-4d39-ac84-3927ec92afc8,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
fca96421-159c-4b89-ad32-ec83765f4e8f,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
7070d4c6-a650-4902-b518-a8618fa5ceae,,fmicb.2022.958914 - Analysis of the composition of culturable airborne microorganisms in the archaeo,,MFC,Air Flow Rate,ENVIRONMENTAL,,100,100,m³/h,t,0.700,HYBRID,Unknown,f,f
6ac9329a-e72e-42af-aac4-c0d3f108330c,,jt.v48.233 - Microbial Consortia from Residential Wastewater for Bioremediation of Phenol in,,MES,Ambient CO₂ Concentration,ENVIRONMENTAL,,173,173,ppm,t,0.500,HYBRID,Results,f,f
01e64c59-dbea-45d5-bf8d-82dc46152396,,asset.v6i2.17931 - Optimization of Biogas Liquid Waste from Livestock Manure as a Source of Renewab,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,5000,5000,ppm,t,0.500,HYBRID,Unknown,f,f
287aa42e-2b78-47ea-96ba-e656a4b72914,,asset.v6i2.17931 - Optimization of Biogas Liquid Waste from Livestock Manure as a Source of Renewab,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,5000,5000,ppm,t,0.500,HYBRID,Unknown,f,f
863763c0-c364-455c-b6c5-35bccf2d1d6f,,ijred.2024.58120 - Development of a 3D-printed spongy electrode design for microbial fuel cell MFC,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,270,270,ppm,t,0.500,HYBRID,Unknown,f,t
07e91252-7e8b-4319-b052-2a9cc3a8db1d,,applsci-15-03335-v2,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,380,380,ppm,t,0.500,HYBRID,Unknown,f,f
1a49e0d0-0b3a-499f-992b-d6e6b82699e4,,s41564-024-01691-0 - Microbial polyphenol metabolism is part of the thawing permafrost carbon cycle,,MES,Ambient CO₂ Concentration,ENVIRONMENTAL,,5,5,ppm,t,0.500,HYBRID,Unknown,f,f
c7440655-347e-49fb-901d-8c4e8ebb2daf,,s13201-024-02355-4 - Efficacy of bioelectrochemical and electrochemical systems in ammonia recovery f,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,500,500,ppm,t,0.500,HYBRID,Results,f,t
021c5e6a-7588-47f6-9b72-fd489bb28a29,,c8ra01643g - Energy generation through bioelectrochemical degradation of pentachlorophenol in,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,100,100,ppm,t,0.500,HYBRID,Unknown,f,t
7b47c6a3-04ae-416c-b231-310d6c8e17dd,,s41467-018-04467-3 - Nanoparticle-templated nanofiltration membranes for ultrahigh performance desali,,MES,Ambient CO₂ Concentration,ENVIRONMENTAL,,1000,1000,ppm,t,0.500,HYBRID,Data,f,f
26597418-5367-456d-96b5-e0309ded4c66,,s41467-018-04467-3 - Nanoparticle-templated nanofiltration membranes for ultrahigh performance desali,,MES,Ambient CO₂ Concentration,ENVIRONMENTAL,,1000,1000,ppm,t,0.500,HYBRID,Data,f,f
50a7e22a-7e00-4eb1-b5be-5c91762d28d1,,c8ra01643g - Energy generation through bioelectrochemical degradation of pentachlorophenol in,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,100,100,ppm,t,0.500,HYBRID,Unknown,f,t
91fd8539-86b4-4386-bff8-11e90140950e,,asset.v6i2.17931 - Optimization of Biogas Liquid Waste from Livestock Manure as a Source of Renewab,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,5000,5000,ppm,t,0.500,HYBRID,Unknown,f,f
ad5bc5fe-75f6-4c46-95cd-f9702cfefbef,,hset.v25i.3477 - Research on Microbial Fuel Cell in Water Treatment and Power Generation,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,204,204,ppm,t,0.500,HYBRID,Unknown,f,t
81bbb77e-8f02-4b9d-8a11-8f130e5564b6,,asset.v6i2.17931 - Optimization of Biogas Liquid Waste from Livestock Manure as a Source of Renewab,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,5000,5000,ppm,t,0.500,HYBRID,Unknown,f,f
ee5c3009-f938-46f6-b8b4-f92da557ed2c,,fmicb.2023.1333696 - Driving forces shaping the microbial ecology in meat packing plants,,MES,Ambient CO₂ Concentration,ENVIRONMENTAL,,128,128,ppm,t,0.500,HYBRID,Unknown,f,f
8196ad85-0f43-4fb3-8eb8-01a89462f6f9,,fmicb.2023.1333696 - Driving forces shaping the microbial ecology in meat packing plants,,MES,Ambient CO₂ Concentration,ENVIRONMENTAL,,128,128,ppm,t,0.500,HYBRID,Unknown,f,f
d79a1af9-2ff8-4288-b640-b1e74edb7a0d,,applsci-15-03335-v2,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,380,380,ppm,t,0.500,HYBRID,Unknown,f,f
11d1d7ce-dbeb-4748-ae0d-0a3e2ac61f6f,,ijred.2024.58120 - Development of a 3D-printed spongy electrode design for microbial fuel cell MFC,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,270,270,ppm,t,0.500,HYBRID,Unknown,f,t
56b1bc10-693b-4f84-b46e-df68c25a5321,,s41467-018-04467-3 - Nanoparticle-templated nanofiltration membranes for ultrahigh performance desali,,MES,Ambient CO₂ Concentration,ENVIRONMENTAL,,1000,1000,ppm,t,0.500,HYBRID,Data,f,f
15c02ad7-b7e9-4130-b9a9-392acece131b,,c8ra01643g - Energy generation through bioelectrochemical degradation of pentachlorophenol in,,MFC,Ambient CO₂ Concentration,ENVIRONMENTAL,,100,100,ppm,t,0.500,HYBRID,Unknown,f,t
