doi,score,n_components,parameter_completeness,verified_mes,has_abstract,citation_strength,year_recency
10.1016/j.fuel.2026.138686,0.4000,5,0.000,1,0,0.000,1.000
10.1016/j.biombioe.2025.108868,0.4151,5,0.000,1,0,0.075,1.000
10.1016/j.enconman.2026.121197,0.4000,5,0.000,1,0,0.000,1.000
10.32750/2026-0120,0.4000,5,0.000,0,1,0.000,1.000
10.18863/pgy.1700533,0.4000,5,0.000,0,1,0.000,1.000
10.30574/wjarr.2026.29.3.0472,0.4250,5,0.125,0,1,0.000,1.000
10.30574/ijsra.2026.18.3.0443,0.4250,5,0.125,0,1,0.000,1.000
10.22214/ijraset.2026.77759,0.4000,5,0.000,0,1,0.000,1.000
10.62622/teiee.026.4.1.60-69,0.4750,5,0.375,0,1,0.000,1.000
10.62622/teiee.026.4.1.33-44,0.4500,5,0.250,0,1,0.000,1.000
10.31014/aior.1993.09.01.618,0.4000,5,0.000,0,1,0.000,1.000
10.69635/mssl.2026.2.1.32,0.4000,5,0.000,0,1,0.000,1.000
10.1093/9780197830642.003.0010,0.4000,5,0.000,0,1,0.000,1.000
10.55463/issn.1674-2974.53.2.1,0.4000,5,0.000,0,1,0.000,1.000
10.1093/9780197830642.003.0003,0.4000,5,0.000,0,1,0.000,1.000
10.24891/cfksij,0.4500,5,0.250,0,1,0.000,1.000
10.1093/9780191991349.003.0003,0.4000,5,0.000,0,1,0.000,1.000
10.1093/9780191991349.003.0022,0.4000,5,0.000,0,1,0.000,1.000
10.5662/wjm.v16.i1.108611,0.4000,5,0.000,0,1,0.000,1.000
10.25148/lawrev.20.3.7,0.4250,5,0.125,0,1,0.000,1.000
10.5662/wjm.v16.i1.108178,0.4000,5,0.000,0,1,0.000,1.000
10.1093/9780198994602.003.0008,0.4000,5,0.000,0,1,0.000,1.000
10.1093/9780198994602.003.0003,0.4000,5,0.000,0,1,0.000,1.000
10.5500/wjt.v16.i1.114000,0.4250,5,0.125,0,1,0.000,1.000
