paper_doi,parameter_id,value,uncertainty_abs,uncertainty_rel_pct,kind,excerpt
10.21924/cst.9.1.2024.1372,bod_removal,93.57,,0.100,plus_minus_pct,93.57 ± 0.10%
10.22153/kej.2022.07.002,bod_removal,40,1,2.174,range_halfwidth, 45 and 47
10.22153/kej.2022.07.002,bod_removal,55,1,2.174,range_halfwidth, 45 and 47
10.3329/jes.v13i1.60561,bod_removal,67,,9.000,plus_minus_pct,67±9%
10.1038/srep06779,bod_removal,90.2,,4.100,plus_minus_pct,90.2 ± 4.1%
10.1038/srep06779,bod_removal,96.5,,4.100,plus_minus_pct,90.2 ± 4.1%
10.55251/jmbfs.9703,bod_removal,98.38,,0.264,plus_minus_pct,98.38±0.264 %
10.55251/jmbfs.9703,bod_removal,99.69,,0.276,plus_minus_pct,99.69±0.276 %
10.48048/tis.2023.6900,bod_removal,53.77,,0.590,plus_minus_pct,53.77 ± 0.59 %
10.1149/ma2006-02/24/1189,bod_removal,32,9,39.130,range_halfwidth, 14 to 32
10.11159/iceptp25.142,cmduprc1m0001g3nc3eujv2ey,45,4,8.163,range_halfwidth, 45-53
10.11159/iceptp25.142,cmduprc1m0001g3nc3eujv2ey,20463,4,0.020,range_halfwidth, 20463-20471
10.11591/ijeecs.v37.i3.pp1452-1463,cmduprc1m0001g3nc3eujv2ey,1336,4,0.299,range_halfwidth, 1336-1344
10.20873/pibic_2024_21014,cmduprc1m0001g3nc3eujv2ey,2359,646.5,21.511,range_halfwidth, 2359-3652
10.4014/jmb.2502.02051,cmduprc1m0001g3nc3eujv2ey,11,1.5,12.000,range_halfwidth,11-14
10.4314/jobasr.v3i3.9,cmduprc1m0001g3nc3eujv2ey,71,3,4.054,range_halfwidth, 71-77
10.4314/jobasr.v3i3.9,cmduprc1m0001g3nc3eujv2ey,1720,3,0.174,range_halfwidth, 1720-1726
10.4314/njb.v41i2.3,cmduprc1m0001g3nc3eujv2ey,29,7.5,20.548,range_halfwidth, 29-44
10.4314/njb.v41i2.3,cmduprc1m0001g3nc3eujv2ey,10,3,23.077,range_halfwidth, 10-16
10.4314/njb.v41i2.3,cmduprc1m0001g3nc3eujv2ey,2880,1.5,0.052,range_halfwidth, 2880-2883
10.1515/znc-2023-0175,cmduprc1m0001g3nc3eujv2ey,2321,578,33.199,range_halfwidth, 2319-1163
10.1515/znc-2023-0175,cmduprc1m0001g3nc3eujv2ey,259,2.5,0.956,range_halfwidth, 259-264
10.21203/rs.3.rs-3939507/v1,cmduprc1m0001g3nc3eujv2ey,43,1.5,3.371,range_halfwidth,43-46
10.21203/rs.3.rs-3939507/v1,cmduprc1m0001g3nc3eujv2ey,497,5.5,1.095,range_halfwidth, 497-508
10.21924/cst.9.1.2024.1372,cmduprc1m0001g3nc3eujv2ey,1969,4.5,0.228,range_halfwidth, 1969-1978
10.24857/rgsa.v18n6-187,cmduprc1m0001g3nc3eujv2ey,429,4.5,1.038,range_halfwidth, 429-438
10.29244/coj.v8i2.55742,cmduprc1m0001g3nc3eujv2ey,52,8,13.333,range_halfwidth, 52-68
10.33736/bjrst.6163.2024,cmduprc1m0001g3nc3eujv2ey,694,5.5,0.786,range_halfwidth, 694-705
10.3389/fpls.2024.1420408,cmduprc1m0001g3nc3eujv2ey,883,10.5,1.175,range_halfwidth, 883–904
10.36948/ijfmr.2024.v06i03.21785,cmduprc1m0001g3nc3eujv2ey,388,4.5,1.146,range_halfwidth, 388-397
10.4314/njb.v41i1.12,cmduprc1m0001g3nc3eujv2ey,110,5,4.348,range_halfwidth, 110-120
10.55251/jmbfs.9703,cmduprc1m0001g3nc3eujv2ey,170,3,1.734,range_halfwidth, 170-176
10.55251/jmbfs.9703,cmduprc1m0001g3nc3eujv2ey,6584,4.5,0.068,range_halfwidth, 6584-6593
10.62063/ecb-14,cmduprc1m0001g3nc3eujv2ey,275,3,1.079,range_halfwidth, 275-281
10.9767/bcrec.20259,cmduprc1m0001g3nc3eujv2ey,1978,507.5,20.418,range_halfwidth, 1978-2993
10.9767/bcrec.20259,cmduprc1m0001g3nc3eujv2ey,42,4,8.696,range_halfwidth, 42-50
10.9767/bcrec.20259,cmduprc1m0001g3nc3eujv2ey,1844,5,0.325,range_halfwidth, 1533- 1543
10.1002/adfm.202304790,cmduprc1m0001g3nc3eujv2ey,181,0.5,0.275,range_halfwidth,181-182
10.15294/jbat.v12i2.44106,cmduprc1m0001g3nc3eujv2ey,10,3,42.857,range_halfwidth, 10-4
10.24425/aep.2023.148683,cmduprc1m0001g3nc3eujv2ey,745,5.5,0.733,range_halfwidth, 745-756
10.31026/j.eng.2013.08.08,cmduprc1m0001g3nc3eujv2ey,5181,5.5,0.106,range_halfwidth, 5181-5192
10.35414/akufemubid.1027565,cmduprc1m0001g3nc3eujv2ey,79,4,4.819,range_halfwidth, 79-87
10.35414/akufemubid.1027565,cmduprc1m0001g3nc3eujv2ey,598,11.5,1.887,range_halfwidth, 598-621
10.48048/tis.2023.5490,cmduprc1m0001g3nc3eujv2ey,17,1,5.556,range_halfwidth,17-19
10.48048/tis.2023.5490,cmduprc1m0001g3nc3eujv2ey,989,6.5,0.653,range_halfwidth, 989-1002
10.52403/ijshr.20230217,cmduprc1m0001g3nc3eujv2ey,10,2.5,33.333,range_halfwidth,10-5
10.52403/ijshr.20230217,cmduprc1m0001g3nc3eujv2ey,131,4.5,3.321,range_halfwidth, 131-140
10.1088/1755-1315/1020/1/012008,cmduprc1m0001g3nc3eujv2ey,89.71,6.700000000000003,6.949,range_halfwidth, 89.71-103.11
10.11113/jurnalteknologi.v84.17875,cmduprc1m0001g3nc3eujv2ey,17,1,5.556,range_halfwidth,17-19
10.14710/reaktor.22.2.36-41,cmduprc1m0001g3nc3eujv2ey,36,2.5,6.494,range_halfwidth, 36-41
10.31315/e.v19i1.6479,cmduprc1m0001g3nc3eujv2ey,40,2.5,5.882,range_halfwidth, 40-45
10.3384/ecp192014,cmduprc1m0001g3nc3eujv2ey,50,10,25.000,range_halfwidth, 30-50
