parameter_id,parameter_name,doi,value,unit,snippet,numbers_in_snippet
bod_removal,Bod Removal,10.1186/s12934-023-02152-9,100.0,%,Fig. 6  Malachite green removal in MFC for 3 consecutive cycles,6 | 3
bod_removal,Bod Removal,10.1051/e3sconf/201911600093,100.0,%,the same COD removal percentage,
bod_removal,Bod Removal,10.30955/gnc2021.00512,90.0,%,"The higher bioelectricity generation, COD removal, total solid removal etc had placed Carbon brush as better choice as anode material.",
cmduprc1m0001g3nc3eujv2ey,substrate,10.1038/s41419-026-08479-6,63.0,-,"f S6K1 via K63-linked ubiquitination.  We further investigated whether the E3 ligase Peli1 can mediate polyubiquitination of S6K1. Peli1  possesses a forkhead-associated (FHA) domain that facilitates substrate binding, as well as a  RING-like domain responsible for its E3 ubiquitin ligase function50",3 | 0
cmduprc1m0001g3nc3eujv2ey,substrate,10.1038/s41419-026-08521-7,48.0,-,"inal domain of PKM2, catalyzed K48-linked deubiquitination of PKM2 at Lys498 residue to  prevent proteasome-mediated degradation, thereby resulting in PKM2 stabilization.   The discovery of PKM2 as a substrate for UCH-L1 prompted us to investigate the role of PKM2  in paclitaxel resistance. First, w",8 | 98
cmduprc1m0001g3nc3eujv2ey,substrate,10.64898/2026.03.04.709460,-9594.0,-,"xt-9594-1-10-20200913. Barometer, 5(2), 232–238.  [4]  Zulfikar, E. S., Tamjidillah, M., & Ramadhan, M. N. (2021). Electrical Productivity of Microbial Fuel Cells in Instant Noodle Boiled Water Waste Substrates. Rotary, 3(1), 69–80.  https://ppjp.ulm.ac.id/journals/index.php/rot  [5]  Rinaldi, W., N",9594 | -1 | -10 | -2.02009e+07 | 5 | 2 | 232 | 238 | 4 | 2021
cmduprc1m0001g3nc3eujv2ey,substrate,10.64898/2026.03.04.709460,10.0,-,"xt-9594-1-10-20200913. Barometer, 5(2), 232–238.  [4]  Zulfikar, E. S., Tamjidillah, M., & Ramadhan, M. N. (2021). Electrical Productivity of Microbial Fuel Cells in Instant Noodle Boiled Water Waste Substrates. Rotary, 3(1), 69–80.  https://ppjp.ulm.ac.id/journals/index.php/rot  [5]  Rinaldi, W., N",9594 | -1 | -10 | -2.02009e+07 | 5 | 2 | 232 | 238 | 4 | 2021
cmduprc1m0001g3nc3eujv2ey,substrate,10.11159/iceptp25.142,10.0,-,"ch, once  washed, were left to dry at 30 °C for one day so that finally, with an extractor (extractor, Labtron, LDO-B10-USA), a  liquid solution of 2200 ml was obtained, this solution was used as the substrate used in the MFCs. The voltage and  electric current values were monitored for 21 days usin",30 | 0 | 2200 | 21 | 830 | 100
cmduprc1m0001g3nc3eujv2ey,substrate,10.4314/njb.v41i2.3,2859.0,-,"l cells.  Microb.  Cell  Fact.  13,  1–6.  https://doi.org/10.1186/1475-2859-13-69    Zhang, Y., Min, B., Huang, L., Angelidaki, I.,  2011. Electricity generation and microbial  community response to substrate changes in  microbial fuel cell. Bioresour. Technol. 102,  1166–1173.  https://doi.org/10.",13 | 1 | 6 | 10.1186 | 1475 | -2859 | -13 | -69 | 2011 | 102
cmduprc1m0001g3nc3eujv2ey,substrate,10.15294/sainteknol.v22i1.7752,979.0,-,"uture perspective. Journal  of Cleaner Production, 228, 580–593. https://doi.org/10.1016/j.jclepro.2019.04.117  Gurung, A., Kim, J., Jung, S., Jeon, B.-H., Yang, J. E., & Oh, S.-E. (2012). Effects of substrate  concentrations on performance of serially connected microbial fuel cells (MFCs) operated ",228 | 580 | 593 | 10.1016 | 2019.04 | 117 | 2012 | 34 | 10 | 1833
cmduprc1m0001g3nc3eujv2ey,substrate,10.3389/fpls.2024.1420408,9414.0,-,"g: Techniques and Technology 4, 883–904. doi: 10.21603/ 2074-9414-2021-4-883-904 Fawzy, E. M., Abdel-Motaal, F. F., and El-zayat, S. A. (2017). Biosorption of heavy metals onto different eco-friendly substrates. J. Toxicol. Environ. Health 9, 35–44. doi: 10.4172/2155-6199 Tang et al. 10.3389/fpls.20",4 | 883 | 904 | 10.216 | 2074 | -9414 | -2021 | -4 | -883 | -904
cmduprc1m0001g3nc3eujv2ey,substrate,10.1002/adfm.202304790,-66.0,-,000  99.8  246  NF  Vacuum  filtration of  UiO- 66-NH2 in  PIP solution  UiO-66-NH2  Solvothermal  93 nm  6  31  NaCl  MgCl  MgSO4  Na2SO4  1000  1000  1000  1000  21.3  58  91.2  97.3  208  NF  TFN (substrate)  CuBTC  Blending in  substrate  100  8  6.91  NaCl  MgSO4    1000  44.9  97.3  247  NF  T,0 | 99.8 | 246 | 66 | 66 | 93 | 6 | 31 | 1000 | 1000
cmduprc1m0001g3nc3eujv2ey,substrate,10.1002/adfm.202304790,2.0,-,re- loading)  200  10  7.19  6.97  NaCl  10 mmol  42.1  36.1  238  NF  TFN (PA)  ZIF-8    IP (blending)  IP (pre- loading)  200  10  7.13  7.36  NaCl  10 mmol  35.4  33.8  238  MD  Grown on  alumina  substrate  NH2-MIL-53(Al)   Solvothermal   NA  0.02  32.2   NaCl  35000  ~99  229  MD  Nanofibrous  ,200 | 10 | 7.19 | 6.97 | 10 | 42.1 | 36.1 | 238 | 8 | 200
cmduprc1m0001g3nc3eujv2ey,substrate,10.1021/jacs.2c12388,450.0,-,"es, Multiple  Conformers or Both? Expert Opin. Drug Metab. Toxicol 2008, 4, 1523–1535. [PubMed:  19040328]  (7). Hlavica P Challenges in Assignment of Allosteric Effects in Cytochrome P450-Catalyzed  Substrate Oxidations to Structural Dynamics in the Hemoprotein Architecture. J. Inorg. Biochem  2017",2008 | 4 | 1523 | 1535 | 1.90403e+07 | 7 | 50 | 2017 | 167 | 100
cmduprc1m0001g3nc3eujv2ey,substrate,10.1080/09593330.2023.2179422,11356.0,-,"f Treatment for Azo Dyes Using Microbial Fuel Cells. Water Environ  Res 2013;85:270–7. https://doi.org/10.2175/106143012X13503213812481.  [2]  Cai J, Qaisar M, Sun Y. Effect of external resistance on substrate removal and  electricity generation in microbial fuel cell treating sulfide and nitrate si",2013 | 85 | 270 | 7 | 10.2175 | 1.06143e+08 | 3.50321e+12 | 2 | 2020 | 27
cmduprc1m0001g3nc3eujv2ey,substrate,10.1080/09593330.2023.2179422,19.0,-,"f Treatment for Azo Dyes Using Microbial Fuel Cells. Water Environ  Res 2013;85:270–7. https://doi.org/10.2175/106143012X13503213812481.  [2]  Cai J, Qaisar M, Sun Y. Effect of external resistance on substrate removal and  electricity generation in microbial fuel cell treating sulfide and nitrate si",2013 | 85 | 270 | 7 | 10.2175 | 1.06143e+08 | 3.50321e+12 | 2 | 2020 | 27
cmduprc1m0001g3nc3eujv2ey,substrate,10.48048/tis.2023.6900,-6.0,-,"regular intervals of 24 h for 7 days.      Laccase activity    The laccase activity of the bacterial consortium was measured using 2,2’-azino-bis(3- ethylbenzothiazoline-6-sulfonic acid) (ABTS) as a substrate. The supernatant was collected from a 48 h- old consortium after centrifugation at 12,000 r",24 | 7 | 2 | 2 | 3 | 6 | 48 | 12000 | 4 | 100
cmduprc1m0001g3nc3eujv2ey,substrate,10.52403/ijshr.20230217,10.0,-,"d using KMnO4 electrolyte solution  which produced a current of 5,5x10-5 A, a   potential of 886 mV and a power density of  4,48x10-3 mW/cm2.  In this paper, the application of MFC  technology on the substrate of red algae  (Gracilaria verrucosa) to produce electrical  energy. It is hypothesized tha",5 | 5e-05 | 886 | 4 | 0.048 | 0.2 | 6 | 0.2
cmduprc1m0001g3nc3eujv2ey,substrate,10.14710/reaktor.22.2.36-41,2.36,-,"film production.  Keywords: substrate; glucose; energy generation; yeast metabolism    How to Cite This Article: Christwardana, M., Joelianingsih, J., & Yoshi, L. A. (2022). The influence of various  substrates on power generation in the operation of yeast microbial fuel cells. Reaktor, 22(2), 36-41",2022 | 22 | 2 | 36 | -41 | 10.1471 | 22.2 | 36 | -41
cmduprc1m0001g3nc3eujv2ey,substrate,10.3389/fenrg.2022.843768,11356.0,-,"10. 1039/D1SE01701B Bolognesi, S., Cecconet, D., Callegari, A., and Capodaglio, A. G. (2021a). Bioelectrochemical Treatment of Municipal Solid Waste Landﬁll Mature Leachate and Dairy Wastewater as Co-substrates. Environ. Sci. Pollut. Res. 28, 24639–24649. doi:10.1007/s11356-020-10167-7 Bolognesi, S.",10 | 1039 | 1701 | 2021 | 28 | 24639 | 24649 | 10.1007 | 1356 | -20
cmduprc1m0001g3nc3eujv2ey,substrate,10.3389/fenrg.2022.843768,20.0,-,"10. 1039/D1SE01701B Bolognesi, S., Cecconet, D., Callegari, A., and Capodaglio, A. G. (2021a). Bioelectrochemical Treatment of Municipal Solid Waste Landﬁll Mature Leachate and Dairy Wastewater as Co-substrates. Environ. Sci. Pollut. Res. 28, 24639–24649. doi:10.1007/s11356-020-10167-7 Bolognesi, S.",10 | 1039 | 1701 | 2021 | 28 | 24639 | 24649 | 10.1007 | 1356 | -20
cmduprc1m0001g3nc3eujv2ey,substrate,10.3389/fenrg.2022.843768,17.0,-,"ower Sourc. 195 (1), 79–89. doi:10.1016/ j.jpowsour.2009.06.101 Zhao, Q., Yu, H., Zhang, W., Kabutey, F. T., Jiang, J., Zhang, Y., et al. (2017). Microbial Fuel Cell with High Content Solid Wastes as Substrates: a Review. Front. Environ. Sci. Eng. 11, 213. doi:10.1007/s11783-017-0918-6 Conﬂict of In",195 | 1 | 79 | 89 | 10.1016 | 2009.06 | 101 | 2017 | 11 | 213
