parameter_name,unit,count
"current density","mA",11
"current density","μA/cm2",11
"power density","mW/m3",8
"power density","mW",7
"current density","µA/cm2",6
"current density","mA cm^-2",5
"power density","kWh",5
"batch volume","mm",5
"bod concentration","g L^-1",4
"cod concentration","g L^-1",4
"volume","Nml min^-1",3
"power density","W/m3",3
"cod concentration","mg O2 /dm3",3
"bod concentration","mg O2 /dm3",3
"current density","V",2
"power density","W/m^2",2
"cod concentration","mg L−1",2
"current density","mA cm−2",2
"power density","mW cm-2",2
"power density","°C",2
"power density","times",2
"current density","%",2
"internal resistance","%",2
"current density","mA/m³",2
"power density","mW/m³",2
"current density","mAm-2",2
"power density","mWm-2",2
"bod concentration","mg/mL",2
"cod concentration","mg/mL",2
"current density","A",1
"power density","mV/m2",1
"current density","mA h^-1",1
"power density","6W/cm2",1
"power density","W / m2",1
"current density","e0.320x",1
"cod concentration","%",1
"bod concentration","m3/tonne",1
"cod concentration","m3/tonne",1
"power density","µW/cm2",1
"current density","Amp.",1
"power density","Pa",1
"power density","N",1
"power density","ibf",1
"current density","kW",1
"power density","%",1
"current density","mAcm-2",1
"internal resistance","kiloohms",1
"power density","μW",1
"power density","mWatt",1
"current density","μA",1
"volume","м3",1
"power density","mWm-3",1
"open circuit voltage","mV/m2",1
"power density","µW/m3",1
"current density","mA/m3",1
"power density","mW·cm-2",1
"current density","A/m3",1
"bod concentration","%",1
"bod concentration","cfu/ml",1
"cod concentration","cfu/ml",1
"power density","mmol",1
